year,synch,asynch,ns,interval,obs
1970,0.684210526315789,0.0526315789473684,0.263157894736842,short,19
1971,0.684210526315789,0,0.315789473684211,short,19
1972,0.684210526315789,0,0.315789473684211,short,19
1973,0.789473684210526,0,0.210526315789474,short,19
1974,0.789473684210526,0,0.210526315789474,short,19
1975,1,0,0,short,19
1976,0.842105263157895,0,0.157894736842105,short,19
1977,0.578947368421053,0,0.421052631578947,short,19
1978,0.526315789473684,0,0.473684210526316,short,19
1979,0.421052631578947,0,0.578947368421053,short,19
1980,0.368421052631579,0,0.631578947368421,short,19
1981,0.368421052631579,0,0.631578947368421,short,19
1982,0.315789473684211,0,0.684210526315789,short,19
1983,0.263157894736842,0.0526315789473684,0.684210526315789,short,19
1984,0.368421052631579,0.0526315789473684,0.578947368421053,short,19
1985,0.421052631578947,0.0526315789473684,0.526315789473684,short,19
1986,0.526315789473684,0,0.473684210526316,short,19
1987,0.526315789473684,0,0.473684210526316,short,19
1988,0.578947368421053,0,0.421052631578947,short,19
1989,0.578947368421053,0,0.421052631578947,short,19
1990,0.684210526315789,0,0.315789473684211,short,19
1991,0.684210526315789,0,0.315789473684211,short,19
1992,0.789473684210526,0,0.210526315789474,short,19
1993,0.789473684210526,0.0526315789473684,0.157894736842105,short,19
1994,0.894736842105263,0,0.105263157894737,short,19
1995,0.894736842105263,0,0.105263157894737,short,19
1996,0.947368421052632,0,0.0526315789473684,short,19
1997,0.842105263157895,0,0.157894736842105,short,19
1998,0.789473684210526,0,0.210526315789474,short,19
1999,0.842105263157895,0,0.157894736842105,short,19
2000,1,0,0,short,19
2001,0.947368421052632,0,0.0526315789473684,short,19
2002,0.684210526315789,0,0.315789473684211,short,19
2003,0.526315789473684,0.0526315789473684,0.421052631578947,short,19
2004,0.263157894736842,0,0.736842105263158,short,19
2005,0.105263157894737,0,0.894736842105263,short,19
2006,0.105263157894737,0,0.894736842105263,short,19
2007,0.315789473684211,0,0.684210526315789,short,19
2008,0.473684210526316,0,0.526315789473684,short,19
2009,0.526315789473684,0,0.473684210526316,short,19
2010,0.736842105263158,0,0.263157894736842,short,19
2011,0.631578947368421,0.0526315789473684,0.315789473684211,short,19
2012,0.578947368421053,0,0.421052631578947,short,19
2013,0.4375,0,0.5625,short,16
2014,0.454545454545455,0,0.545454545454545,short,11
2015,0,0,1,short,5
1907,0,0,1,medium,1
1908,0.5,0,0.5,medium,4
1909,0.571428571428571,0,0.428571428571429,medium,7
1910,0.222222222222222,0,0.777777777777778,medium,9
1911,0.363636363636364,0.0909090909090909,0.545454545454545,medium,11
1912,0.461538461538462,0,0.538461538461538,medium,13
1913,0.5,0,0.5,medium,14
1914,0.5,0.0714285714285714,0.428571428571429,medium,14
1915,0.5,0,0.5,medium,14
1916,0.571428571428571,0,0.428571428571429,medium,14
1917,0.714285714285714,0,0.285714285714286,medium,14
1918,0.857142857142857,0,0.142857142857143,medium,14
1919,0.928571428571429,0,0.0714285714285714,medium,14
1920,0.928571428571429,0,0.0714285714285714,medium,14
1921,0.928571428571429,0,0.0714285714285714,medium,14
1922,0.928571428571429,0,0.0714285714285714,medium,14
1923,0.928571428571429,0,0.0714285714285714,medium,14
1924,1,0,0,medium,14
1925,1,0,0,medium,14
1926,1,0,0,medium,14
1927,1,0,0,medium,14
1928,0.928571428571429,0,0.0714285714285714,medium,14
1929,0.857142857142857,0,0.142857142857143,medium,14
1930,0.714285714285714,0,0.285714285714286,medium,14
1931,0.642857142857143,0,0.357142857142857,medium,14
1932,0.642857142857143,0,0.357142857142857,medium,14
1933,0.642857142857143,0,0.357142857142857,medium,14
1934,0.571428571428571,0,0.428571428571429,medium,14
1935,0.5,0,0.5,medium,14
1936,0.428571428571429,0,0.571428571428571,medium,14
1937,0.428571428571429,0,0.571428571428571,medium,14
1938,0.428571428571429,0,0.571428571428571,medium,14
1939,0.5,0,0.5,medium,14
